,importance
day_type_encoded,0.16685283275753632
Longitude,0.12126169465005787
LOCAL_UE_CNT_RAT_young_ratio_interact,0.09557228417477076
Latitude_Longitude_interact,0.08731327504489697
distance_from_center,0.08463348438235688
Latitude,0.08412829048744991
young_to_local_ratio,0.07405417469937442
young_ratio,0.07017187223684931
lat_lng_ratio,0.0699402796289826
LOCAL_UE_CNT_RAT,0.06750853205489539
LOCAL_UE_CNT_RAT_Latitude_interact,0.05320273827666503
young_ratio_Latitude_interact,0.051912817551973946
LOCAL_UE_CNT_RAT_Longitude_interact,0.04264491567887047
young_ratio_Longitude_interact,0.03922181541065638
Longitude_MCT_TYPE_카페디저트_interact,0.032124116585716636
Latitude_MCT_TYPE_카페디저트_interact,0.0307618335871171
time_type_오후,0.028674385440502263
Longitude_MCT_TYPE_한식_interact,0.026603527342302757
young_local_interaction,0.023918190041039615
Longitude_MCT_TYPE_기타단품특수_interact,0.02372886385318497
