,xgb_tuned,lgb_tuned,catboost,rf_tuned,extra_trees
day_type_encoded,0.26587,0.34153696972054404,0.23737805061895167,0.003888135848244343,0.005752083915162846
time_type_주간,0.009911802,0.00770640210281694,0.024984662499759266,0.0007054459038003072,0.0007238138571137511
time_type_오후,0.19492978,0.24449396796521727,0.17345230686591662,0.0020507492661978608,0.0031355407641653534
time_type_야간,0.13998753,0.2150652921835308,0.05426561751753951,0.0008148758705527942,0.0013720537959617
time_type_오전,0.0,0.0,0.00019666179934693757,4.148456376137545e-06,2.4219820824927792e-05
LOCAL_UE_CNT_RAT,0.37674016,0.45853656260529196,0.06425208980048325,0.004582312405493815,0.00355338734983614
gender_target_female,0.0063387686,0.007551941290910388,0.0007124748268683149,6.090259937496969e-05,0.0002511396552131594
gender_target_male,0.007962334,0.006135974985990798,0.0070843475828046365,0.0003224138508053266,0.0005772168773734882
young_ratio,0.1563463,0.09557740801567069,0.03714436682076735,0.0018582729921217448,0.0009283772183872341
MCT_TYPE_분식간편식,0.0027414295,0.006628498925579351,0.0020226007465348438,4.417731505343791e-05,6.053042458454508e-05
MCT_TYPE_양식,0.0028379944,0.0006303787721903867,0.0012720470126131784,0.00010816179248259743,0.00022253243157368424
MCT_TYPE_기타단품특수,0.0060876985,0.0013663573808055337,0.007905282840521709,0.00039534034952812,0.0006600026714361233
MCT_TYPE_한식,0.012871197,0.0033928005024397,0.004206744595208185,0.0002054429408196236,0.00042085983508324354
MCT_TYPE_육류구이고기,0.02037725,0.022886609964616923,0.004148019832826473,0.0009469927613080731,0.0008624568209433216
MCT_TYPE_카페디저트,0.003925971,0.0059916114167478255,0.006669319221748667,0.001145323965980362,0.0017050070009010417
MCT_TYPE_일식,0.0011167063,0.0,0.005326367303224159,0.00012101089869434774,0.0002000330133491661
MCT_TYPE_주점술집,0.0013492862,0.0,0.001129001285818528,5.174570349104039e-05,0.0001199240090274042
MCT_TYPE_해산물,0.0011981911,0.0,0.0,0.00011830187755706791,0.0003585632645800337
MCT_TYPE_탕찌개,0.0013876662,0.0,0.0,8.442713074909976e-05,0.0002574813463168149
MCT_TYPE_탕국면류,0.00213484,0.0,0.0,2.0780115947598234e-05,3.520249898787265e-05
MCT_TYPE_중식,0.0025075597,0.0,0.0011037019149957234,0.00023152374815202167,0.00023689382888706728
MCT_TYPE_동남아아시아,0.0,0.0,0.0001356934874732159,1.7418150424311962e-06,4.708457851967736e-06
MCT_TYPE_죽,0.0,0.0,7.170684291537532e-06,7.26923053194038e-07,1.9899545780256445e-06
MCT_TYPE_뷔페,0.0,0.0,0.0,8.130954859301838e-06,8.661021668875565e-06
Latitude,0.16622674,0.19658656555263282,0.13111410537521326,0.00183871246945332,0.0005724052939094848
Longitude,0.35807198,0.4878071394357631,0.13192027813195423,0.003077426023580281,0.0007411133066174132
time_type_주간_MCT_TYPE_분식간편식_interact,0.0011972757,0.007941758536735087,0.0003026500457395828,3.6611591009422377e-05,4.8449288134828656e-05
time_type_주간_MCT_TYPE_양식_interact,0.0016769448,0.0,0.00040415921016927035,5.2844996591614406e-05,5.683005442085716e-05
time_type_주간_MCT_TYPE_기타단품특수_interact,0.0047974056,0.005930935071619888,0.005136334911908878,0.00022100926056302996,0.00012268363821774943
time_type_주간_MCT_TYPE_한식_interact,0.0071733166,0.02573576183355577,0.0014102023233985386,0.00020027750505784896,0.0002532847320722569
time_type_주간_MCT_TYPE_육류구이고기_interact,0.0,0.0,3.3697558687419826e-05,1.0083204405662384e-05,1.87708304313767e-05
time_type_주간_MCT_TYPE_카페디저트_interact,0.0023814111,0.003842391761478262,0.0009660566982943361,0.00024074912773714953,0.0005552283250617454
time_type_주간_MCT_TYPE_일식_interact,0.0,0.0,0.0,7.694306735597965e-06,1.0705592210320837e-05
time_type_주간_MCT_TYPE_주점술집_interact,0.0,0.0,1.464536363331351e-05,4.326421229018362e-06,1.174242196157777e-05
time_type_주간_MCT_TYPE_해산물_interact,0.00065180496,0.002043392843354475,0.00022783664632931982,2.860816972124464e-05,5.674952893612524e-05
time_type_주간_MCT_TYPE_탕찌개_interact,0.013240375,0.006945669449860523,0.0,0.00018806210008311838,0.00029947039478565494
time_type_주간_MCT_TYPE_탕국면류_interact,0.00026048988,0.0025524572574047865,0.0002936610759242847,2.59127525530549e-05,2.862582780620239e-05
time_type_주간_MCT_TYPE_중식_interact,0.0,0.0,8.221621490922445e-05,3.23045379114741e-05,0.00010503680741827527
time_type_주간_MCT_TYPE_동남아아시아_interact,0.0,0.0,1.3728819641492491e-05,1.8161940149365662e-08,1.1211849537201702e-06
time_type_주간_MCT_TYPE_죽_interact,0.0,0.0,0.0,0.0,1.7066178289908254e-07
time_type_주간_MCT_TYPE_뷔페_interact,0.0,0.0,0.0,0.0,1.2401790514162853e-06
