,importance
Longitude,0.19632358795169602
LOCAL_UE_CNT_RAT,0.18153290195306454
day_type_encoded,0.1708850489990504
time_type_오후,0.12361246868747885
young_to_local_ratio,0.12048853040879122
Latitude,0.09926770666860066
LOCAL_UE_CNT_RAT_young_ratio_interact,0.0981671114906007
lat_lng_ratio,0.0918084732202197
LOCAL_UE_CNT_RAT_Latitude_interact,0.08573146051346082
time_type_야간,0.0823010735383424
Longitude_MCT_TYPE_육류구이고기_interact,0.07498814894175576
young_ratio_Latitude_interact,0.07490756409237262
young_ratio_Longitude_interact,0.07438588792304858
Latitude_Longitude_interact,0.07420082165598235
distance_from_center,0.06418807794772385
LOCAL_UE_CNT_RAT_Longitude_interact,0.05992772735846212
young_ratio,0.058370946250348575
Latitude_MCT_TYPE_카페디저트_interact,0.03989985432799753
time_gender_food_interact,0.038440806536533666
young_local_interaction,0.03310289795174725
