,importance
LOCAL_UE_CNT_RAT_young_ratio_interact,0.058311031737531896
Latitude,0.05529029722722125
day_type_encoded,0.047126787602631226
lat_lng_ratio,0.04432639731933456
Longitude,0.043998724571221524
Latitude_Longitude_interact,0.04338504963146896
distance_from_center,0.04332183912395286
young_to_local_ratio,0.04064908615903725
young_ratio,0.03795199903335303
LOCAL_UE_CNT_RAT,0.03653536516240795
LOCAL_UE_CNT_RAT_Longitude_interact,0.03598315506744124
young_ratio_Latitude_interact,0.0324051718381321
LOCAL_UE_CNT_RAT_Latitude_interact,0.030814546441046003
Longitude_MCT_TYPE_기타단품특수_interact,0.029572681094003593
young_ratio_Longitude_interact,0.028417264920548118
Latitude_MCT_TYPE_기타단품특수_interact,0.024330094303667713
Longitude_MCT_TYPE_카페디저트_interact,0.023188145790282628
young_local_interaction,0.021396457666232074
Latitude_MCT_TYPE_카페디저트_interact,0.017634986319771145
Latitude_MCT_TYPE_일식_interact,0.015061576088232536
