,xgb_tuned,lgb_tuned,catboost,rf_tuned,extra_trees
day_type_encoded,0.07032325,0.05306842278692986,0.14443704456161943,0.004331662571706662,0.005864172577952286
time_type_주간,0.015416175,0.019307918112522714,0.02699432284416638,0.0009491942081181623,0.002261432276389189
time_type_오후,0.008680192,0.006402812257948868,0.0599971785245904,0.0012840678862649324,0.0021325355811674077
time_type_야간,0.014455232,0.0048671740579913705,0.029963048712548984,0.0014373135058809816,0.0025271706492978998
time_type_오전,0.0,0.0,3.8004882709124596e-05,6.028678155699094e-06,1.1280561883430244e-05
LOCAL_UE_CNT_RAT,0.072745144,0.0738648204675985,0.020053334099482165,0.0027082666131152382,0.0016664924175863452
gender_target_female,0.0029394107,0.0025596431516481054,0.0008239471365151544,0.0001505131299165738,0.0003334453748096436
gender_target_male,0.007072928,0.0028224175690375864,0.003894071960308835,0.0004993673020639193,0.0006471570846122324
young_ratio,0.064465515,0.06244922305815145,0.023979073689674807,0.0026664679827991112,0.0012110528051652795
MCT_TYPE_분식간편식,0.0007641808,0.0,0.0008136910486062637,8.162320236796512e-05,0.00015904814213803443
MCT_TYPE_양식,0.0019871856,0.0,0.0005167938378444653,0.00044707466838409476,0.0010344878339935307
MCT_TYPE_기타단품특수,0.0019537432,0.0009771627548580831,0.006049080390881794,0.0016824645137936622,0.002639161676443039
MCT_TYPE_한식,0.0030819466,0.001132330661378401,0.008594981770763014,0.0012766388130429323,0.0018882669600274052
MCT_TYPE_육류구이고기,0.0024806238,0.0,0.004422145113779158,0.0013887868159690223,0.0014145887284876296
MCT_TYPE_카페디저트,0.0038837872,0.0011124923415966109,0.002665927090954579,0.0011792308826444825,0.0010882263343081797
MCT_TYPE_일식,0.0002440488,0.0,0.00783319285381398,0.0007465788327764154,0.0012554047117065432
MCT_TYPE_주점술집,0.00021579814,0.0,0.0006647784543931601,0.00022636512519625076,0.0004465145243867018
MCT_TYPE_해산물,0.0016822427,0.0013456115925831456,0.0,0.00011568269790661234,0.00017982542768708762
MCT_TYPE_탕찌개,0.0009584759,0.0006753294560008155,0.0,9.049664915396924e-05,0.00011214974320773811
MCT_TYPE_탕국면류,0.0,0.0,0.0,4.388938418652215e-05,5.417544959616872e-05
MCT_TYPE_중식,0.00065956084,0.0,0.0016509857195288686,0.0005075850139227333,0.0007821366934261816
MCT_TYPE_동남아아시아,0.00033715824,0.0,6.265900284091037e-05,5.995238153372172e-06,1.0597181780920844e-05
MCT_TYPE_죽,0.0,0.0,1.4719759481757084e-05,3.7283356626889477e-06,1.792192589062036e-05
MCT_TYPE_뷔페,0.0,0.0,0.0,4.45321553692164e-06,1.4087338386931546e-05
Latitude,0.09652326,0.09098255127793871,0.0450387505579128,0.0024075886971355372,0.0008902991916558198
Longitude,0.108669356,0.10428637858162482,0.05012378575088487,0.0028052997461981482,0.0006810124825440545
time_type_주간_MCT_TYPE_분식간편식_interact,0.0005652218,0.0,0.00045853652428598556,6.23015704570646e-05,5.99724999317125e-05
time_type_주간_MCT_TYPE_양식_interact,0.0025542795,0.0035710815827949866,0.00025760301616624,0.00024612358890890754,0.0004762214109453533
time_type_주간_MCT_TYPE_기타단품특수_interact,0.0037827452,0.00015069400012632133,0.0020257515349026566,0.00029749566672932295,0.0006828638166752797
time_type_주간_MCT_TYPE_한식_interact,0.010443444,0.008659417284936294,0.00440934153931975,0.0005511058960724878,0.0008141315706378534
