,importance
Longitude,0.20960727634965207
LOCAL_UE_CNT_RAT,0.1867464683906827
day_type_encoded,0.16618039721942632
time_type_오후,0.1251464438165434
young_to_local_ratio,0.119583755357293
LOCAL_UE_CNT_RAT_young_ratio_interact,0.10425509974860407
time_type_야간,0.10072806738199805
Latitude,0.09138212894909047
lat_lng_ratio,0.08990935653204404
LOCAL_UE_CNT_RAT_Latitude_interact,0.08419512020855109
young_ratio_Latitude_interact,0.07796761549019124
Latitude_Longitude_interact,0.07722283032322304
young_ratio_Longitude_interact,0.07699607949913126
distance_from_center,0.06830192857278912
Longitude_MCT_TYPE_육류구이고기_interact,0.06243969577000423
young_ratio,0.0595601479752787
LOCAL_UE_CNT_RAT_Longitude_interact,0.059197365914684386
Latitude_MCT_TYPE_카페디저트_interact,0.048044198393935464
time_gender_food_interact,0.03718166528373798
young_local_interaction,0.03450784098410071
