,importance
Longitude,0.07876647060481679
Latitude,0.07591338089765749
LOCAL_UE_CNT_RAT_young_ratio_interact,0.06829411781812857
Longitude_MCT_TYPE_카페디저트_interact,0.05650490921667924
LOCAL_UE_CNT_RAT,0.053538168562574276
lat_lng_ratio,0.052552883074493614
LOCAL_UE_CNT_RAT_Latitude_interact,0.04897485287611164
LOCAL_UE_CNT_RAT_Longitude_interact,0.04750090543107643
young_ratio,0.046117970752555894
day_type_encoded,0.044023853767821086
Longitude_MCT_TYPE_기타단품특수_interact,0.04345235458893269
Latitude_Longitude_interact,0.042817216114682664
young_to_local_ratio,0.04043745813811489
Latitude_MCT_TYPE_카페디저트_interact,0.039749242026410045
distance_from_center,0.03849384273863956
young_ratio_Latitude_interact,0.037757925733717404
young_ratio_Longitude_interact,0.028584434706844714
Latitude_MCT_TYPE_기타단품특수_interact,0.02762101674560371
young_local_interaction,0.027319114970340758
food_diversity,0.026550160758799124
