,importance
day_type_encoded,0.1650302237047449
Longitude,0.12335394167118188
LOCAL_UE_CNT_RAT_young_ratio_interact,0.08983907257469664
Latitude_Longitude_interact,0.08980745215057016
distance_from_center,0.08678152806409006
Latitude,0.08390565025088328
young_to_local_ratio,0.07950681585606709
lat_lng_ratio,0.07282501359845059
young_ratio,0.07173774753314104
LOCAL_UE_CNT_RAT,0.06305614992996442
LOCAL_UE_CNT_RAT_Latitude_interact,0.05008505103700096
young_ratio_Latitude_interact,0.04835412575483295
LOCAL_UE_CNT_RAT_Longitude_interact,0.04353747799218387
young_ratio_Longitude_interact,0.036386541935505425
Longitude_MCT_TYPE_카페디저트_interact,0.030267019905421653
time_type_오후,0.028962541984852114
Longitude_MCT_TYPE_기타단품특수_interact,0.026160143362712097
Latitude_MCT_TYPE_기타단품특수_interact,0.025630562076712944
Longitude_MCT_TYPE_육류구이고기_interact,0.02491713370232538
Longitude_MCT_TYPE_한식_interact,0.024677407656119765
