,xgb_tuned,lgb_tuned,catboost,rf_tuned,extra_trees
day_type_encoded,0.042653948,0.03450541394149007,0.12729979838633854,0.0029623797552770946,0.004856098115940561
time_type_주간,0.022109248,0.014209922996260902,0.02419723369440272,0.0007953418437856608,0.0009840874882681345
time_type_오후,0.017795797,0.011918550183516612,0.06034773248462593,0.001173396095597673,0.0017584813626533675
time_type_야간,0.005762392,0.005573431249196934,0.009037906928514687,0.0009738994846690823,0.0010831665729783167
time_type_오전,0.0,0.0,2.6912317041951997e-05,7.029454400265784e-06,1.7802414266869588e-05
LOCAL_UE_CNT_RAT,0.107762076,0.09914622569280657,0.04897984163406825,0.005905967516282288,0.004707683237435378
gender_target_female,0.0047247736,0.0034627664747128497,0.001464946160575747,0.00024243100606157394,0.0005635809884540769
gender_target_male,0.012576729,0.00841776543015589,0.003190880712151619,0.0003478470682763064,0.0006735724971539993
young_ratio,0.0808455,0.09800322535848113,0.031917637056137454,0.0029528396159393283,0.0020388480989168237
MCT_TYPE_분식간편식,0.000961324,0.0012906761395447056,0.0036169718224058757,0.0005352941331563904,0.001173061922046804
MCT_TYPE_양식,0.004047093,0.0015919372485347272,0.00144674510616734,0.000957857078008033,0.0012667230171201549
MCT_TYPE_기타단품특수,0.011103788,0.0009033080744469423,0.024446836272258295,0.004280187906788577,0.005851061918074996
MCT_TYPE_한식,0.002493394,0.007434827493420565,0.0033110302079366618,0.0005338967198526496,0.0017686117135268414
MCT_TYPE_육류구이고기,0.06053288,0.008097047810461867,0.012392187669890385,0.004988878255284721,0.00426105721233367
MCT_TYPE_카페디저트,0.017400306,0.006541632739588172,0.027742305956861148,0.005072889622144095,0.006579508798791234
MCT_TYPE_일식,0.003682259,0.0016503221715059014,0.008421847276767112,0.0007411331278071799,0.0011503616073493363
MCT_TYPE_주점술집,0.0026935637,0.0,0.0001808947711360872,8.610368859111162e-05,0.00022671165260178643
MCT_TYPE_해산물,0.0,0.0010007958813082745,0.0,0.00017707420089676143,0.0005488525503587081
MCT_TYPE_탕찌개,0.0005147669,0.0,0.0,0.0002764193969972019,0.0005341140629749343
MCT_TYPE_탕국면류,0.0066392766,0.0,0.0,0.00010057343856051738,0.0002634539253843828
MCT_TYPE_중식,0.02237694,0.011927237956371876,0.003932271258828293,0.0008900740684332875,0.001092508495922114
MCT_TYPE_동남아아시아,0.0012391914,0.0,4.37792046951771e-05,9.10899566981325e-06,2.5639303345801816e-05
MCT_TYPE_죽,0.0,0.0,2.514528412924779e-05,3.356003692758697e-06,1.4083151864775714e-05
MCT_TYPE_뷔페,0.0,0.0,0.0,3.3080198332410234e-06,1.9818495079858005e-05
Latitude,0.13623598,0.15596594849833528,0.05483602247716817,0.0024867994318076196,0.0012389344994058315
Longitude,0.13233009,0.12453219364015014,0.10170046494020657,0.005854819214617413,0.0009701405827504993
time_type_주간_MCT_TYPE_분식간편식_interact,0.002716018,0.0040353955822069135,0.0009569462084026685,0.00035224268571362846,0.0004870051801313615
time_type_주간_MCT_TYPE_양식_interact,0.0013835797,0.0,8.477999234024768e-05,5.687389133401302e-05,8.378566146239815e-05
time_type_주간_MCT_TYPE_기타단품특수_interact,0.003393746,0.0032796987590516797,0.004776666633384722,0.0003076834015507997,0.0004341239201892435
time_type_주간_MCT_TYPE_한식_interact,0.0017825314,0.0,0.0022798560812758717,0.00018296185640062412,0.0004412749184902114
time_type_주간_MCT_TYPE_육류구이고기_interact,0.0,0.0,2.7757424227546384e-05,3.197931073965518e-05,4.8092752700510305e-05
time_type_주간_MCT_TYPE_카페디저트_interact,0.004277904,0.004516339760666387,0.0005477992520590095,0.0011243267870326755,0.002217989237808485
time_type_주간_MCT_TYPE_일식_interact,0.0,0.0,0.0,6.226670363973975e-06,2.3735083313037173e-05
time_type_주간_MCT_TYPE_주점술집_interact,0.0110589955,0.0,0.00030804835460916793,6.512174205184226e-05,0.00014040154546182272
time_type_주간_MCT_TYPE_해산물_interact,0.00032200775,0.0,0.00022520186806784768,3.2712029436271076e-05,4.673934421728389e-05
time_type_주간_MCT_TYPE_탕찌개_interact,0.0019250391,0.002006794427232462,0.0,0.00010492266151839546,0.00017552225391432894
time_type_주간_MCT_TYPE_탕국면류_interact,0.0043050707,0.0,0.0006865302310641526,7.596295381828799e-05,0.0001912822533185785
