,importance
Longitude,0.073077541637047
Latitude,0.07015273741727172
LOCAL_UE_CNT_RAT_young_ratio_interact,0.06667125637369511
LOCAL_UE_CNT_RAT,0.053300358808245726
lat_lng_ratio,0.05071742461935058
Longitude_MCT_TYPE_카페디저트_interact,0.049087124094051464
LOCAL_UE_CNT_RAT_Latitude_interact,0.049083406982025006
LOCAL_UE_CNT_RAT_Longitude_interact,0.04648277980702897
Longitude_MCT_TYPE_기타단품특수_interact,0.044378674895371464
young_ratio,0.04315160953561099
day_type_encoded,0.04245552765353301
Latitude_Longitude_interact,0.04161927836952537
distance_from_center,0.03903183204175422
young_to_local_ratio,0.03818738227569512
young_ratio_Latitude_interact,0.03683135931961314
Latitude_MCT_TYPE_카페디저트_interact,0.03560453855950212
young_ratio_Longitude_interact,0.027875759185676204
Latitude_MCT_TYPE_기타단품특수_interact,0.02739720991573986
food_diversity,0.026878971229791
young_local_interaction,0.026364839411297906
