,xgb_tuned,lgb_tuned,catboost,rf_tuned,extra_trees
day_type_encoded,0.07067065,0.05608725810669887,0.14764897145132203,0.005919502270033713,0.0075788932272268005
time_type_주간,0.017743241,0.03857345785062011,0.03621527642612476,0.002148942571665507,0.003686708147157523
time_type_오후,0.0648509,0.0640126957868589,0.10148986067772574,0.0034743753718145414,0.0052397939640133765
time_type_야간,0.0076722177,0.005703488563369117,0.022872196455001013,0.000754512708622685,0.0011050108612542734
time_type_오전,0.000505533,0.0,0.00020511123069010567,1.1718581004867358e-05,5.0944404069825775e-05
LOCAL_UE_CNT_RAT,0.06637433,0.07198751243392638,0.017622138056150528,0.0026181939778815717,0.0018129177591606849
gender_target_female,0.006156133,0.004849902789214173,0.0014879612438803986,0.00033533331430643575,0.0009295881670756094
gender_target_male,0.012917301,0.003569885079488585,0.011437297555387386,0.0012990118314381183,0.0019425370124491052
young_ratio,0.10202626,0.06985233094773473,0.027111407215293978,0.0034785074945824835,0.0013848677089414643
MCT_TYPE_분식간편식,0.0009485986,0.0,0.0019896828943078357,0.00022160013011889333,0.00047340574734479015
MCT_TYPE_양식,0.0032060128,0.000924175113760068,0.0023898423946255003,0.0012205829427619024,0.002309557179881725
MCT_TYPE_기타단품특수,0.017612942,0.00605794043504267,0.019912570361374473,0.0037657193205346317,0.005009723966942318
MCT_TYPE_한식,0.011197432,0.02875449671177453,0.006329706038900882,0.001494697614072734,0.003138746736096897
MCT_TYPE_육류구이고기,0.0035348344,0.0030995587518743723,0.00465314925701874,0.0013715430017333674,0.0012025212124614293
MCT_TYPE_카페디저트,0.0016375758,0.0005266865341036484,0.0062964802104093645,0.001537593412958423,0.0017174488167588523
MCT_TYPE_일식,0.0006470001,0.0012199450053960886,0.00538479139700812,0.0006155953947501623,0.0010093627293812613
MCT_TYPE_주점술집,0.0003348164,0.0,0.0004453354245199902,0.00011520793887473471,0.00016396364566471783
MCT_TYPE_해산물,0.0011111058,0.0,0.0,0.00010919200033738982,0.00013739292399424612
MCT_TYPE_탕찌개,0.0012626136,0.0,0.0,0.0001963158917443893,0.00032251738651870856
MCT_TYPE_탕국면류,0.0012551461,0.000768034478027229,0.0,2.9965005872291265e-05,4.3300836620002526e-05
MCT_TYPE_중식,0.042990208,0.03999059222422757,0.004330495802869883,0.001062101232220855,0.001328168165238537
MCT_TYPE_동남아아시아,0.00015357732,0.0,5.770242395363022e-05,1.3553471294236826e-05,2.3746250748861673e-05
