,importance
Longitude,0.07117469595226908
lat_lng_ratio,0.05787096419934647
day_type_encoded,0.057581054892915116
Latitude,0.05734299552205076
young_to_local_ratio,0.0481369640112254
time_type_오후,0.047813524479464235
young_ratio,0.04077067495116164
young_ratio_Longitude_interact,0.03930859339757803
young_ratio_Latitude_interact,0.03914000970391188
LOCAL_UE_CNT_RAT_young_ratio_interact,0.03772638714541981
Latitude_Longitude_interact,0.03730519923364409
LOCAL_UE_CNT_RAT_Latitude_interact,0.03424947923413016
LOCAL_UE_CNT_RAT_Longitude_interact,0.03314681163688135
distance_from_center,0.032189947670329185
LOCAL_UE_CNT_RAT,0.03208301878796839
Latitude_MCT_TYPE_기타단품특수_interact,0.03187889202977075
Latitude_MCT_TYPE_양식_interact,0.030823401885589723
time_gender_food_interact,0.027737074464881613
time_type_주간,0.019673525207493325
Latitude_MCT_TYPE_한식_interact,0.018711533824523723
