,importance
Longitude,0.06842071389974369
lat_lng_ratio,0.05990190644222078
Latitude,0.059414793220212314
day_type_encoded,0.05612454732786576
young_to_local_ratio,0.04990566084637793
time_type_오후,0.046563777582063114
young_ratio_Longitude_interact,0.042310092332251865
young_ratio,0.041813021306215115
young_ratio_Latitude_interact,0.040465378683751836
Latitude_Longitude_interact,0.03918768000769251
LOCAL_UE_CNT_RAT_young_ratio_interact,0.03801715614400881
LOCAL_UE_CNT_RAT_Latitude_interact,0.03366726373777645
distance_from_center,0.03285368427690466
LOCAL_UE_CNT_RAT_Longitude_interact,0.03242984914335763
LOCAL_UE_CNT_RAT,0.03203711873601212
Latitude_MCT_TYPE_기타단품특수_interact,0.02991174549092096
time_gender_food_interact,0.027430486525178637
Latitude_MCT_TYPE_양식_interact,0.026533305568293218
time_type_주간,0.019337963946994753
Longitude_MCT_TYPE_카페디저트_interact,0.018900518449597455
