,importance
Longitude,0.0570748745740249
day_type_encoded,0.05564540456083879
Latitude,0.04642189320703838
young_to_local_ratio,0.04382254723375306
lat_lng_ratio,0.043690224834147036
LOCAL_UE_CNT_RAT_Longitude_interact,0.03784171259248652
LOCAL_UE_CNT_RAT_young_ratio_interact,0.03692741474862898
distance_from_center,0.03571470558171372
Latitude_Longitude_interact,0.0332149318306457
LOCAL_UE_CNT_RAT,0.03301816685320033
LOCAL_UE_CNT_RAT_Latitude_interact,0.0324282133982763
young_ratio,0.03144175361870324
Latitude_MCT_TYPE_한식_interact,0.02941990612548261
young_ratio_Latitude_interact,0.025995949113410872
young_ratio_Longitude_interact,0.02561408515391414
Longitude_MCT_TYPE_한식_interact,0.024398998522506894
Longitude_MCT_TYPE_카페디저트_interact,0.017366077156601756
time_type_오후,0.01603127147143138
young_local_interaction,0.014322803534915487
Latitude_MCT_TYPE_기타단품특수_interact,0.014061982624602915
